date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2004/2/15,906595,897715,899313,915749,929090,954362,992223,1041683,1084517,1079850,1053655,1034873,1020456,994710,980183,975948,994264,1070307,1169982,1180296,1180975,1163937,1126759,1083559
2004/2/16,1065751,1063711,1074809,1110810,1154496,1228731,1350069,1415187,1369846,1327441,1264274,1210513,1157215,1116893,1085880,1068898,1085387,1161677,1274499,1296571,1279651,1242634,1184424,1136383
2004/2/17,1122557,1127514,1136844,1147757,1172677,1234698,1352170,1391604,1332998,1248838,1204964,1166423,1132320,1102778,1093946,1111094,1152309,1216030,1276875,1276304,1235518,1197563,1126871,1062387
2004/2/18,1042721,1048919,1050347,1068234,1104322,1185452,1309913,1350555,1266712,1186000,1150071,1119918,1085717,1022864,977222,967120,1044652,1123696,1213315,1223671,1201789,1145637,1075219,997136
2004/2/19,979235,968148,970790,983041,1009066,1067840,1201376,1218352,1129036,1074934,1027235,990198,953954,911004,906683,888696,904987,954949,1059831,1064713,1048639,1018530,973372,919007
2004/2/20,890093,896858,899158,912160,938867,1021827,1149844,1192977,1110554,1039333,1000862,967423,928478,898723,880710,873220,880149,924959,1000870,986869,959645,927834,873666,804898
2004/2/21,783402,776332,763539,759342,770212,801316,852442,908081,970451,975621,972392,943406,930187,914194,899434,898856,925020,973446,1028916,1026530,1008306,979591,949060,891375
2004/2/22,858612,851298,849241,849692,860424,896502,937226,1000794,1055618,1064913,1040451,996333,969456,937374,915211,917673,942857,1007761,1078346,1073331,1061415,1031993,985197,927597
2004/2/23,918983,918521,924245,957883,1018507,1110005,1241377,1274316,1196905,1128381,1061622,1025075,985123,960014,941843,941956,974413,1040810,1131820,1132578,1096883,1036102,971058,912627
2004/2/24,893387,882456,879235,897933,935688,1019464,1143837,1203887,1154151,1129625,1109993,1084488,1066897,1058208,1046629,1047420,1089539,1133976,1191599,1194308,1157716,1110812,1038856,978517
2004/2/25,964742,966799,960799,986266,1023057,1099721,1228959,1256381,1180323,1126328,1092213,1068162,1026155,1008550,981731,973780,1001930,1077437,1164549,1186747,1182424,1136034,1075459,1012700
2004/2/26,998381,998553,1014010,1026560,1058623,1124070,1254953,1262822,1180581,1139402,1140760,1117051,1097199,1085311,1080839,1085644,1113873,1170054,1229473,1230348,1191441,1140447,1069381,1002074
2004/2/27,975033,950879,954150,959465,992218,1068121,1198724,1241304,1156552,1111827,1062228,1031985,1005530,978223,944627,927289,937754,972595,1036617,1078813,1065547,1049571,1009713,963785
2004/2/28,941710,934471,941973,957220,973212,1011886,1058410,1107773,1106437,1054971,1003011,948338,895969,859452,815417,812915,817140,850653,943725,957017,944497,934430,902591,860820
2004/2/29,841770,832791,838841,858363,873803,911273,959996,1016941,1021064,991952,918366,874204,837178,803570,780833,765123,801493,849201,924124,945226,938135,904928,850809,808915
2004/3/1,782819,789571,796431,819040,871932,947923,1056755,1088298,1011988,967483,962489,938134,905787,888315,864067,857098,863975,895894,989881,1003298,968406,919958,858280,773422
2004/3/2,743848,723892,711614,733749,758924,825490,929023,960814,932698,891953,890907,870808,862121,856502,845192,838685,848017,889523,960271,977700,946021,879757,808457,743880
2004/3/3,710119,702178,703073,716490,747329,831902,964898,1008062,945196,901058,879284,860954,852984,835205,828903,821942,837215,877365,951270,967560,950935,899357,820205,754411
2004/3/4,714158,696478,683268,686958,715027,770216,872510,927017,885532,862304,868248,853548,842710,821915,810712,797843,812273,841265,923364,948038,923623,905657,842690,764897
2004/3/5,752428,745886,742903,748387,778436,836432,963697,1006630,958115,929066,903984,881519,848857,842128,826385,812621,818089,831705,892323,897715,866353,823848,786289,711718
2004/3/6,679414,656083,641828,633980,632506,641444,684897,746077,805249,845816,852929,843232,819229,779270,765951,773831,789395,817456,863299,863714,844119,819423,778234,726449
2004/3/7,692382,675173,666389,666354,676742,707475,749182,817519,857503,860705,833228,803557,778257,760597,739073,739514,754507,835296,924269,926810,910347,869512,824688,776824
2004/3/8,766553,763146,767781,782707,817031,905672,1043579,1086029,1067417,1034855,1017296,1006135,995817,997533,979197,994161,1023327,1073187,1144510,1168965,1142131,1089312,1010659,943236
2004/3/9,934835,925085,929431,935250,958795,1038813,1138458,1133461,1069802,1063997,987588,973597,988712,970775,925706,964149,988681,1054718,1097562,1076531,1048945,1036805,1010291,951485
2004/3/10,941156,936742,942313,950857,982789,1050854,1125946,1159890,1070876,1057113,1043159,1038265,1027999,1031886,1022859,1022424,1018632,1077814,1091476,1100152,1088448,1064265,1031551,981787
2004/3/11,963754,942698,966972,973387,1018494,1105700,1176254,1169481,1082741,1051256,1013857,970369,929482,908034,884911,868952,884425,916705,996491,1037186,1026073,974794,909484,845304
2004/3/12,828089,819776,806759,814204,841139,933183,1060294,1087202,1040428,1010344,989327,984070,962582,939207,916374,895625,906369,930500,1020352,1037546,1026160,1001726,962453,921505
2004/3/13,824651,813604,815948,820304,844014,895909,949701,991915,1016731,994283,954719,909083,848565,815459,792415,774326,786207,809836,886321,929567,920058,905322,874472,832641
2004/3/14,792492,796250,799536,805016,821497,842385,882908,930380,975361,978816,940848,886849,854956,821634,791671,766661,785655,830581,873466,909099,873535,826199,763009,703647
2004/3/15,665065,664946,664965,675693,711697,787728,912558,947841,885831,870888,836667,820518,800735,792800,776536,746729,772907,803446,889987,936554,917698,859009,788509,740615
2004/3/16,717720,706969,711074,715767,751962,845452,970250,1040516,1023124,1021475,1027958,1024437,1017773,1011419,1006019,1009320,1035406,1070151,1107640,1115759,1084063,1032070,960588,880326
2004/3/17,854884,853268,845575,848996,866735,947608,1069869,1107129,1070699,1017898,980815,957248,962629,970158,961974,967802,1005772,1049895,1088818,1102538,1082799,1022925,964938,889580
2004/3/18,867360,865841,869818,871110,910584,982035,1054162,1061999,1016486,987102,945821,919490,887491,875859,848639,855175,886098,927427,1011049,1027943,1004331,956676,881177,802670
2004/3/19,783488,770363,757351,762591,785227,868392,993513,1050833,1008919,985605,963385,935107,901537,886415,862592,835065,835790,856809,926474,966801,959911,939041,905983,856813
2004/3/20,838192,836210,840024,847382,855316,891986,927228,965596,958011,926274,890214,836890,799649,780259,745904,729591,724694,735769,796093,818968,791173,751759,698948,646614
2004/3/21,614193,587715,587252,582345,600095,636439,681535,751370,831149,866347,863034,852216,852072,838579,821138,807058,831452,876697,954169,998063,988751,953320,900558,846974
2004/3/22,848899,857931,861407,883412,922318,1011486,1094253,1100805,1058205,1023934,1041645,1034069,1000018,987647,962561,952352,963529,1015470,1087421,1108019,1086340,1054913,1025872,968817
2004/3/23,954048,964267,973686,985225,1031509,1108360,1180528,1152464,1070641,1034636,997862,970675,928297,888530,874031,849778,854742,886233,984812,1034054,1028959,976783,925322,863426
2004/3/24,838358,846623,853076,874188,909046,993564,1108424,1106675,1011078,926972,884395,853712,821955,801203,795986,793347,814654,836767,899663,939408,906141,861169,778156,709562
2004/3/25,699339,680454,678514,687054,720730,796337,894627,931738,886470,848190,820209,795966,780578,758907,734851,698470,705619,717368,763855,814340,793817,731014,663076,587476
2004/3/26,558046,557102,556839,582959,612314,685524,798520,844476,801960,784489,780981,773147,762465,766839,743842,722980,744895,768069,798576,829609,793372,754931,699196,626742
2004/3/27,578321,559089,547524,538209,547067,570929,614416,679234,738144,764121,758427,746126,723249,693696,688259,686276,691737,700638,736161,774479,740783,700795,647401,598490
2004/3/28,557753,537858,524044,524557,533798,557486,594359,653734,733116,741693,728893,708793,695805,679956,667343,659761,669334,691713,754640,821061,798688,747048,702150,642680
2004/3/29,623019,615820,620057,634723,677093,763917,885031,941645,892267,862941,843575,827135,808164,794082,791902,776337,781769,823564,899080,950981,935582,888013,805205,744891
2004/3/30,726775,705699,663316,685401,730561,782485,893574,953431,908566,878820,881833,869981,845046,833264,823775,824792,865463,922915,993731,1007505,978399,932910,861468,789955
2004/3/31,761126,744821,747204,744120,760401,829036,946996,1000009,958972,938818,926503,917570,903181,903181,897942,897259,929961,967543,1004005,1006550,967587,913799,839249,757826
2004/4/1,742958,720653,735074,735083,758622,830632,940431,988026,958509,949971,937325,913971,906948,910454,905100,907437,937262,977565,1008250,1037398,1018650,971388,897838,825792
2004/4/2,790374,789146,785790,788167,820396,890001,1002939,1047398,1010817,991367,981457,953152,934051,918082,925794,912414,937430,962984,980602,980549,964945,931373,881257,801288
2004/4/3,767444,754612,734386,734880,745268,774133,811183,859997,914628,929582,915481,894157,858026,805820,783707,769655,781128,802749,841800,877565,860246,831078,787058,732430
2004/4/4,710159,698782,680369,672993,678122,696455,740343,802629,865891,892938,884133,878984,883701,872053,855135,848613,858310,882255,907177,966233,1035011,1011321,960053,887050
2004/4/5,855214,861678,868748,876618,911954,953928,1042039,1096263,1063527,1065956,1084851,1044950,1017883,986309,961289,938661,931276,938961,906844,951970,1021920,1020420,971114,895212
2004/4/6,880072,866953,867887,877789,908705,973445,1035895,1033951,981978,959486,960678,929645,900202,868572,835142,819176,816404,824919,834668,883002,933718,905615,829513,755980
2004/4/7,715654,707941,706447,704318,730305,792946,874909,928334,927111,877238,835119,817930,778398,770359,775423,762494,752317,782123,787580,816447,858968,828499,745806,668415
2004/4/8,688119,677188,679511,690466,721281,790237,883675,931847,932356,937464,935292,909378,887665,879617,858282,838012,829060,854713,883477,899258,927686,889051,829980,742219
2004/4/9,711613,701700,706564,707851,735435,780020,862517,915556,901468,886826,857468,833950,801269,783368,760427,747533,743756,754433,753679,772641,846113,813277,776424,718177
2004/4/10,684370,676930,667969,660418,679072,703087,764355,820128,859404,879288,859501,811563,757486,740609,715200,707336,706202,732839,743838,783098,815194,777052,727646,666956
2004/4/11,640074,622051,610254,617361,622470,653882,692259,765038,837854,895690,897235,892318,892944,878115,850783,840126,827194,844708,862512,906828,922841,878452,818402,761621
2004/4/12,748682,734394,726230,689301,690354,764252,872312,955663,1006707,1041565,1047558,1051149,1037381,1041348,1024253,1026748,1053116,1066328,1071209,1092210,1075732,1000673,936367,838318
2004/4/13,814185,796572,789205,784574,809124,869502,994829,1049620,1034092,1015527,1014228,1006711,995771,990395,990954,977794,992682,1009314,985593,990654,1014273,970351,891428,800835
2004/4/14,764389,741016,737015,751515,782008,843886,958140,1007040,977888,969556,966900,965308,951071,955075,934340,939300,962458,1007956,998708,1043713,1065112,1016827,936222,850170
2004/4/15,831157,821769,810940,820501,845327,916165,1005104,1010939,959865,927308,937615,921513,902342,872470,861093,842602,827023,836540,847929,884011,959925,923512,840464,768980
2004/4/16,741733,731855,743914,760499,802206,870591,1013451,1039174,971227,915309,880987,859765,843213,821218,816015,811620,800866,808233,810134,822936,872580,857316,803769,723278
2004/4/17,681192,658766,654662,664753,673282,708267,755408,813865,838949,828684,805897,782736,761086,751113,737019,744509,754210,759333,754499,760340,812315,780990,711543,624639
2004/4/18,564535,555794,548696,538991,541949,553354,580220,648743,720698,765248,766675,760666,771627,786468,787662,800663,816486,851874,855089,880636,938252,888928,790449,697362
2004/4/19,648405,622058,609076,599497,632890,695328,805132,863546,869767,878025,894564,907782,913495,928933,948966,931307,909606,940736,944604,988332,1034835,978121,873850,771544
2004/4/20,719356,691232,677997,664942,683323,735714,839375,875013,876831,877110,879803,905377,901974,913824,931856,911043,905814,913758,908021,929503,1003881,938778,837058,745153
2004/4/21,693199,664394,649570,647098,660798,715952,827056,874952,881949,865842,876753,877195,895267,893888,894594,900921,906622,911498,915175,934072,969947,919821,823088,723843
2004/4/22,685234,664897,659738,657507,671551,719498,826404,878705,869341,869694,873878,896247,917254,926442,918095,891760,870911,890305,902206,926127,963947,913071,818233,719671
2004/4/23,685398,653496,655938,639935,645412,697375,812496,866185,839954,856021,831984,839109,855492,869046,864890,869917,877532,857923,828319,823987,838314,799817,724320,645880
2004/4/24,586965,558929,542023,542298,549720,573554,613368,705256,757387,794238,787530,774804,767018,765716,787573,797801,796369,803157,805361,789588,816415,794382,731280,650718
2004/4/25,596559,566604,522906,510796,542459,568326,597117,653098,719711,760165,775924,766740,755610,750880,731268,688837,696960,741775,795165,820592,846923,802360,736714,667080
2004/4/26,634863,612052,600607,618324,638432,696279,804294,855232,848302,856313,862816,858906,838805,831970,825458,828301,831276,818961,832576,839062,872229,826800,761366,681166
2004/4/27,656755,652806,650267,646001,674834,749138,863778,911693,917117,845074,839112,830278,824267,820555,820260,817089,818422,854130,873867,898667,936079,910098,832374,757347
2004/4/28,730577,717068,714144,724914,761940,833522,962303,984670,932165,899413,877756,860302,832345,833847,821580,810466,805145,775710,821863,835207,916599,887092,783446,711140
2004/4/29,666267,661859,665955,664066,692240,768855,878479,909876,865469,837745,833593,823191,838060,849246,843882,844365,850415,853076,838193,851640,901060,878423,780120,699582
2004/4/30,634984,610234,581969,584087,597041,661484,749349,790055,787544,804949,797878,795782,803390,809999,792663,794281,798626,791705,785318,785618,810652,792857,724532,656085
2004/5/1,614225,590084,573027,563559,565164,585195,611709,664233,718826,744348,759293,764256,756155,754051,753893,763052,766422,766150,764114,760321,802981,774915,707897,646985
2004/5/2,601236,574106,557625,552423,543295,542571,551392,623828,695195,753513,767503,771393,780586,788057,784354,811479,827938,840848,839593,835769,867711,811945,720163,649046
2004/5/3,591659,570234,559692,558848,594091,652254,782184,836018,834174,831660,819655,826137,825173,808009,815089,808002,827855,852108,883351,890740,921132,893116,814429,735019
2004/5/4,707620,688663,680913,681156,711877,790356,920715,952819,905605,863530,849616,824670,815973,817661,814321,779598,790064,817419,820005,829329,897526,877482,780887,701786
2004/5/5,687853,680666,675318,684597,702684,771496,829547,870682,831175,817632,801778,766873,763263,759221,761272,766479,780876,787926,799878,812512,902798,878843,785916,701180
2004/5/6,662283,644275,637092,641477,657424,731920,845261,884716,855464,844650,842221,837324,839400,848489,856867,865781,876418,879053,878264,881297,930449,899266,802957,716254
2004/5/7,663828,643820,627328,630090,650243,702976,803433,861029,848970,868895,893033,907015,913606,947134,943170,944778,947486,912599,891456,880865,914706,890282,813641,720900
2004/5/8,671477,636827,611109,595386,596541,618223,641887,706728,766106,787006,786979,761984,752466,751742,750964,772906,778765,784482,772635,767451,791356,783690,716824,639933
2004/5/9,586368,561014,547001,540551,539859,560168,582510,645530,716493,760856,779917,797929,808384,828781,840459,866033,891195,908282,901415,900274,931012,907321,805575,716501
2004/5/10,665284,629736,606313,604617,619825,682411,781668,856738,869200,901719,939857,971466,1009805,1040100,1085613,1028335,1011598,1033235,1047102,1022153,1072622,1049927,927566,820451
2004/5/11,760700,738645,716409,700647,715502,777059,878775,945476,937724,963430,983839,1016063,1033834,1055500,1068423,1068189,1054297,1067718,1065207,1071392,1105467,1048726,939423,828207
2004/5/12,762833,723372,711239,693323,709693,755738,860135,931941,945707,950495,1007371,1026141,1062142,1098766,1115910,1102207,1092334,1091583,1081881,1072541,1110285,1058169,947011,837098
2004/5/13,772397,735228,714627,705300,709828,757865,854119,956649,991894,984912,1030384,1065457,1055412,1048560,1113284,1114003,1099027,1104645,1089518,1080077,1112927,1068625,970384,844613
2004/5/14,798422,761209,732895,720374,728421,771042,861074,942021,951432,989001,1028655,1070908,1094500,1128327,1136733,1078371,1021260,996964,1019274,978778,981054,964086,873798,770480
2004/5/15,692860,668937,641072,634940,616555,639479,666847,747657,805914,851178,889653,933302,959268,998682,1007721,999567,1032261,1044250,993859,959909,935472,875919,791658,702286
2004/5/16,635635,606240,590047,571919,565317,570943,590541,658498,739570,793816,837121,876425,901397,899443,887104,899471,922191,945968,940459,911720,923539,890499,794868,700825
2004/5/17,652792,620677,607348,605434,629126,688417,789950,843805,842051,878553,935857,966708,1008033,1039366,1058941,1067331,1058919,1053611,1056049,1032498,1046404,1000558,891289,785844
2004/5/18,733677,697187,672602,663913,668632,723862,818484,893746,904650,906473,949898,977336,1007389,1033620,1031482,1024821,1047840,1045072,1039797,1019675,1008085,955702,854316,756634
2004/5/19,700618,676673,658873,646086,666782,727117,822644,885464,881662,885877,907469,919241,925916,935350,932046,945573,961648,977300,983803,971818,971024,942531,846011,739250
2004/5/20,696526,665460,652714,638626,657725,716999,810788,862946,859813,874740,884599,878361,882254,889518,894546,897261,920692,922591,919546,924743,941163,934868,843171,741280
2004/5/21,681530,658781,649878,649340,660934,720063,814691,879411,878520,881855,892895,912929,935796,949074,968419,963255,955117,959694,962451,976943,998222,860168,746070,705704
2004/5/22,662160,639289,616126,593049,590849,591725,619145,686869,770044,841123,889936,924219,959387,1005070,1035198,1072064,1105517,1103276,1073987,1039880,1026917,1012683,912619,816772
2004/5/23,736848,693467,672728,661505,650563,650714,664481,754807,868382,955776,1017264,1068013,1108794,1119259,1088124,1086697,1093000,1092168,1103855,1118042,1122601,1087128,966876,867236
2004/5/24,777962,753389,730381,725285,735956,778537,886802,981877,998571,1039302,1092869,1135686,1176184,1201155,1180516,1177764,1198297,1223308,1237501,1224260,1192452,1139403,1024061,900139
2004/5/25,823091,786531,767583,745994,747594,791911,888024,967369,983558,1018593,1057490,1101055,1152457,1186837,1185637,1185229,1213364,1199035,1174186,1118927,1132724,1094720,961181,849077
2004/5/26,786780,742955,718258,709956,705808,756561,862742,903964,930775,983068,1019738,1042977,1050587,1075918,1097726,1094700,1105557,1099508,1080210,1045990,1016647,975716,877078,779940
2004/5/27,720339,687936,676185,685158,694496,748807,851199,896734,895132,917346,955272,980406,1004434,1030923,1040654,1056073,1092302,1124711,1101812,1072736,1081488,1046895,923252,819106
2004/5/28,750866,717570,691272,684103,694279,749230,845021,906932,921629,904601,925520,937549,962079,958848,984844,983066,988947,994465,968310,931063,915683,910328,829271,745387
2004/5/29,669810,634952,601828,583683,582835,592881,616129,656330,715339,742514,769453,769282,768321,773365,778675,786047,806011,785616,761183,740345,730940,726866,665249,582719
2004/5/30,528082,507790,492371,504948,521441,530003,546974,611412,681488,728548,746666,745243,702458,703886,710319,716461,710171,718339,703839,699068,713507,722681,668944,634296
2004/5/31,595154,567659,560290,546816,546324,560721,576603,608687,676526,751941,794687,802149,807657,798542,800255,818456,850332,881477,882795,890595,882151,861899,773249,688967
2004/6/1,622936,604048,551031,518976,542095,605456,738518,843182,869194,904969,925705,939438,943490,947119,927856,944749,977310,991070,978540,952729,959048,944647,841885,737976
2004/6/2,670637,654475,648744,632648,642673,705047,786877,864958,856646,880455,922668,941201,942438,962855,976724,991022,1019657,1027724,1018232,988580,973577,961627,863453,745626
2004/6/3,685922,666231,648712,637267,655763,703773,805974,870072,892338,893790,894447,899272,933082,955608,965166,993841,1014686,1022668,1016330,984268,976520,978937,864725,746373
2004/6/4,683682,656949,635206,627488,651248,702946,791375,856748,853494,860821,863517,874692,873419,856170,842983,833507,840908,850370,837524,821791,837587,818266,757648,682608
2004/6/5,630305,610263,591063,591295,600139,620968,648934,696892,758861,801096,813305,802941,790908,774440,762913,756973,767352,768529,760141,764742,770968,750067,696050,637477
2004/6/6,585559,554359,544620,538460,550311,555451,581045,633973,709454,742801,753857,753693,751606,749681,746086,749503,772080,786528,797394,804086,830605,845763,764604,682312
